sum,id,auth,term,quality,doi
304,1204,4,300,sucess-download,"Goswami, R.; Lehot, V.; Çiçek, Y. A.; Nagaraj, H.; Jeon, T.; Nguyen, T.; Fedeli, S.; Rotello, V. M. Direct Cytosolic Delivery of Citraconylated Proteins. Pharmaceutics. 2023. https://doi.org/10.3390/pharmaceutics15010218."
304,901,4,300,sucess-download,"Adler, F. R.; Anderson, A. R.; Bhushan, A.; Bogdan, P.; Bravo-Cordero, J. J.; Brock, A.; Chen, Y.; Cukierman, E.; DelGiorno, K. E.; Denis, G. V.; Ferrall-Fairbanks, M. C.; Gartner, Z. J.; Germain, R. N.; Gordon, D. M.; Hunter, G.; Jolly, M. K.; Karacosta, L. G.; Mythreye, K.; Katira, P.; Kulkarni, R. P.; Kutys, M. L.; Lander, A. D.; Laughney, A. M.; Levine, H.; Lou, E.; Lowenstein, P. R.; Masters, K. S.; Pe'er, D.; Peyton, S. R.; Platt, M. O.; Purvis, J. E.; Quon, G.; Richer, J. K.; Riddle, N. C.; Rodriguez, A.; Snyder, J. C.; Lee Szeto, G.; Tomlin, C. J.; Yanai, I.; Zervantonakis, I. K.; Dueck, H. Modeling collective cell behavior in cancer: Perspectives from an interdisciplinary conversation. Cell systems. 2023. https://doi.org/10.1016/j.cels.2023.03.002."
303,1273,3,300,sucess-download,"Palmer-Young, E. C.; Malfi, R.; Zhou, Y.; Joyce, B.; Whitehead, H.; Van Wyk, J. I.; Baylis, K.; Grubbs, K.; Boncristiani, D. L.; Evans, J. D.; Irwin, R. E.; Adler, L. S. Sunflower-Associated Reductions in Varroa Mite Infestation of Honey Bee Colonies. Journal of economic entomology. 2022. https://doi.org/10.1093/jee/toac196."
302,973,2,300,sucess-download,"Lu, W.; Wei, Z.; Guo, W.; Yan, C.; Ding, Z.; Wang, C.; Huang, G.; Rotello, V. M. Shaping Sulfur Precursors to Low Dimensional (0D, 1D and 2D) Sulfur Nanomaterials: Synthesis, Characterization, Mechanism, Functionalization, and Applications. Small (Weinheim an der Bergstrasse, Germany). 2023. https://doi.org/10.1002/smll.202301095."
212,1382,12,200,sucess-download,"Liu, H.; Huang, J.; Zhang, X.; Liu, G.; Liang, W.; Zhu, G.; Dong, M.; Li, M.; Zhang, J.; Yang, W.; Xiao, W.; Cheung, A. Y.; Tao, L. Z. The RAC/ROP GTPase activator OsRopGEF10 functions in crown root development by regulating cytokinin signaling in rice. The Plant cell. 2022. https://doi.org/10.1093/plcell/koac297."
208,1250,8,200,sucess-download,"Xiong, Z.; Zhang, X.; White, J. C.; Liu, L.; Sun, W.; Zhang, S.; Zeng, J.; Deng, S.; Liu, D.; Zhao, X.; Wu, F.; Zhao, Q.; Xing, B. Transcriptome Analysis Reveals the Growth Promotion Mechanism of Enteropathogenic  ACS nano. 2023. https://doi.org/10.1021/acsnano.2c09964."
206,523,6,200,sucess-download,"Cao, X.; Chen, X.; Liu, Y.; Wang, C.; Yue, L.; Elmer, W. H.; White, J. C.; Wang, Z.; Xing, B. Lanthanum Silicate Nanomaterials Enhance Sheath Blight Resistance in Rice: Mechanisms of Action and Soil Health Evaluation. ACS nano. 2023. https://doi.org/10.1021/acsnano.3c03701."
205,1186,5,200,sucess-download,"Liu, Z.; Lepori, I.; Chordia, M. D.; Dalesandro, B. E.; Guo, T.; Dong, J.; Siegrist, M. S.; Pires, M. M. A Metabolic-Tag-Based Method for Assessing the Permeation of Small Molecules Across the Mycomembrane in Live Mycobacteria. Angewandte Chemie (International ed. in English). 2023. https://doi.org/10.1002/anie.202217777."
205,188,5,200,sucess-download,"Kelly, M. T.; Chen, Z.; Russell, T. P.; Zhao, B. Amphiphilic Heterografted Molecular Bottlebrushes with Tertiary Amine-Containing Side Chains as Efficient and Robust pH-Responsive Emulsifiers. Angewandte Chemie (International ed. in English). 2023. https://doi.org/10.1002/anie.202315424."
205,1098,5,200,sucess-download,"Zhang, Z.; Li, X. M.; Wang, H.; Lin, H.; Xiao, H.; Li, Z. Seafood allergy: Allergen, epitope mapping and immunotherapy strategy. Critical reviews in food science and nutrition. 2023. https://doi.org/10.1080/10408398.2023.2181755."
205,1293,5,200,sucess-download,"Cui, F.; Han, S.; Wang, J.; McClements, D. J.; Liu, X.; Liu, F. Co-delivery of curcumin and epigallocatechin gallate in W/O/W emulsions stabilized by protein fibril-cellulose complexes. Colloids and surfaces. B, Biointerfaces. 2022. https://doi.org/10.1016/j.colsurfb.2022.113072."
205,929,5,200,sucess-download,"Lian, F.; Han, Y.; Zhang, Y.; Li, J.; Sun, B.; Geng, Z.; Wang, Z.; Xing, B. Exposure Order to Photoaging and Humic Acids Significantly Modifies the Aggregation and Transformation of Nanoplastics in Aqueous Solutions. Environmental science & technology. 2023. https://doi.org/10.1021/acs.est.2c09140."
205,1385,5,200,sucess-download,"Ji, Y.; Yue, L.; Cao, X.; Chen, F.; Li, J.; Zhang, J.; Wang, C.; Wang, Z.; Xing, B. Carbon dots promoted soybean photosynthesis and amino acid biosynthesis under drought stress: Reactive oxygen species scavenging and nitrogen metabolism. The Science of the total environment. 2022. https://doi.org/10.1016/j.scitotenv.2022.159125."
204,396,4,200,sucess-download,"Li, G.; McWilliams, M.; Rodrigues, M.; Mearkle, B.; Jaafar, N.; Golla, V.; Yu, H.; Yang, H.; Ayhan, D. H.; Allen, K.; Martínez-Soto, D.; Springer, A.; Ma, L. J. CUR(E)ating a new approach to study fungal effectors and enhance undergraduate education through authentic research. Biochemistry and molecular biology education : a bimonthly publication of the International Union of Biochemistry and Molecular Biology. 2023. https://doi.org/10.1002/bmb.21783."
204,930,4,200,sucess-download,"Huang, R.; Hirschbiegel, C. M.; Lehot, V.; Liu, L.; Cicek, Y. A.; Rotello, V. M. Modular Fabrication of Bioorthogonal Nanozymes for Biomedical Applications. Advanced materials (Deerfield Beach, Fla.). 2023. https://doi.org/10.1002/adma.202300943."
204,925,4,200,sucess-download,"Xu, Z.; Gamble, A.; Niu, W. A.; Smith, M. N.; Siegrist, M. S.; Tuominen, M.; Santore, M. M. Contact Area and Deformation of  Langmuir : the ACS journal of surfaces and colloids. 2023. https://doi.org/10.1021/acs.langmuir.3c00089."
204,1175,4,200,sucess-download,"Xie, M.; Gao, M.; Yun, Y.; Malmsten, M.; Rotello, V. M.; Zboril, R.; Akhavan, O.; Kraskouski, A.; Amalraj, J.; Cai, X.; Lu, J.; Zheng, H.; Li, R. Antibacterial Nanomaterials: Mechanisms, Impacts on Antimicrobial Resistance and Design Principles. Angewandte Chemie (International ed. in English). 2023. https://doi.org/10.1002/anie.202217345."
204,121,4,200,sucess-download,"Liu, Y.; Han, J.; Wang, Y.; Li, A.; Zhao, J.; Su, Y.; Shen, L.; Xing, B. Suspected sources of microplastics and nanoplastics: Contamination from experimental reagents and solvents. Water research. 2023. https://doi.org/10.1016/j.watres.2023.120925."
204,573,4,200,sucess-download,"Seong, H. G.; Fink, Z.; Chen, Z.; Emrick, T.; Russell, T. P. Bottlebrush Polymers at Liquid Interfaces: Assembly Dynamics, Mechanical Properties, and All-Liquid Printed Constructs. ACS nano. 2023. https://doi.org/10.1021/acsnano.3c02684."
204,1216,4,200,sucess-download,"Wang, Y.; Xiang, L.; Wang, F.; Redmile-Gordon, M.; Bian, Y.; Wang, Z.; Gu, C.; Jiang, X.; Schäffer, A.; Xing, B. Transcriptomic and metabolomic changes in lettuce triggered by microplastics-stress. Environmental pollution (Barking, Essex : 1987). 2023. https://doi.org/10.1016/j.envpol.2023.121081."
204,832,4,200,sucess-download,"Kim, J. W.; Chen, C.; Kim, H.; Kim, S. H.; Hayward, R. C. Effect of surface tension on elastocapillary wrinkling of interfacially adsorbed hydrogel disks with photothermally programmed swelling profiles. Soft matter. 2023. https://doi.org/10.1039/d3sm00001j."
204,1391,4,200,shorty-download,"Cui, S.; McClements, D. J.; Shi, J.; Xu, X.; Ning, F.; Liu, C.; Zhou, L.; Sun, Q.; Dai, L. Fabrication and characterization of low-fat Pickering emulsion gels stabilized by zein/phytic acid complex nanoparticles. Food chemistry. 2022. https://doi.org/10.1016/j.foodchem.2022.134179."
203,1314,3,200,sucess-download,"Donovan, S. M.; Abrams, S. A.; Azad, M. B.; Belfort, M. B.; Bode, L.; Carlson, S. E.; Dallas, D. C.; Hettinga, K.; Järvinen, K.; Kim, J. H.; Lebrilla, C. B.; McGuire, M. K.; Sela, D. A.; Neu, J. Summary of the Joint National Institutes of Health and the Food and Drug Administration Workshop Titled ""Exploring the Science Surrounding the Safe Use of Bioactive Ingredients in Infant Formula: Considerations for an Assessment Framework"". The Journal of pediatrics. 2022. https://doi.org/10.1016/j.jpeds.2022.11.027."
203,1357,3,200,sucess-download,"Tarafdar, L.; Mohapatra, M.; Muduli, P. R.; Kumar, A.; Mishra, D. R.; Rastogi, G. Co-occurrence patterns and environmental factors associated with rapid onset of Microcystis aeruginosa bloom in a tropical coastal lagoon. Journal of environmental management. 2022. https://doi.org/10.1016/j.jenvman.2022.116580."
203,1394,3,200,sucess-download,"Danylchuk, A. J.; Griffin, L. P.; Ahrens, R.; Allen, M. S.; Boucek, R. E.; Brownscombe, J. W.; Casselberry, G. A.; Danylchuk, S. C.; Filous, A.; Goldberg, T. L.; Perez, A. U.; Rehage, J. S.; Santos, R. O.; Shenker, J.; Wilson, J. K.; Adams, A. J.; Cooke, S. J. Cascading effects of climate change on recreational marine flats fishes and fisheries. Environmental biology of fishes. 2022. https://doi.org/10.1007/s10641-022-01333-6."
203,687,3,200,sucess-download,"Xu, D.; Gu, T.; Lovley, D. R. Microbially mediated metal corrosion. Nature reviews. Microbiology. 2023. https://doi.org/10.1038/s41579-023-00920-3."
203,790,3,200,sucess-download,"Kundu, A. N.; Dougan, C. E.; Mahmoud, S.; Kilic, A.; Panagiotou, A.; Richbourg, N. R.; Irakoze, N.; Peyton, S. R. Tenascin-C Activation of Lung Fibroblasts in a 3D Synthetic Lung Extracellular Matrix Mimic. Advanced materials (Deerfield Beach, Fla.). 2023. https://doi.org/10.1002/adma.202301493."
203,359,3,200,sucess-download,"Valdez, E.; Chan, J.; Dixon, S.; Carroll, G. D.; Phuntsog, T.; Delorme, E.; Egan, J.; Gubrium, A. Participatory Action Research to Explore the Role of Structural Violence on Marginalized and Racialized Young Parents. Health education & behavior : the official publication of the Society for Public Health Education. 2023. https://doi.org/10.1177/10901981231197397."
203,988,3,200,sucess-download,"He, X.; Hu, W.; Li, W.; Hu, R. Digital transformation, technological innovation, and operational resilience of port firms in case of supply chain disruption. Marine pollution bulletin. 2023. https://doi.org/10.1016/j.marpolbul.2023.114811."
203,827,3,200,sucess-download,"Cho, M.; Harlin, E.; Ihm, J.; Lee, C. H. Event history analysis on racial disparities in the path to adoption for Black and White children. Child abuse & neglect. 2023. https://doi.org/10.1016/j.chiabu.2023.106231."
203,648,3,200,shorty-download,"Tax, G.; Guay, K. P.; Soldà, T.; Hitchman, C. J.; Hill, J. C.; Vasiljević, S.; Lia, A.; Modenutti, C. P.; Straatman, K. R.; Santino, A.; Molinari, M.; Zitzmann, N.; Hebert, D. N.; Roversi, P.; Trerotola, M. Rescue of secretion of a rare-disease associated mis-folded mutant glycoprotein in  bioRxiv : the preprint server for biology. 2023. https://doi.org/10.1101/2023.05.30.542711."
202,271,2,200,sucess-download,"Raman, V.; Howell, L. M.; Bloom, S. M.; Hall, C. L.; Wetherby, V. E.; Minter, L. M.; Kulkarni, A. A.; Forbes, N. S. Intracellular  Frontiers in immunology. 2023. https://doi.org/10.3389/fimmu.2023.1228532."
202,192,2,200,sucess-download,"VanDonselaar, K. R.; Bellido-Aguilar, D. A.; Safaripour, M.; Kim, H.; Watkins, J. J.; Crosby, A. J.; Webster, D. C.; Croll, A. B. Silicone elastomers and the Persson-Brener adhesion model. The Journal of chemical physics. 2023. https://doi.org/10.1063/5.0172415."
202,651,2,200,sucess-download,"Hadidi, M.; Hossienpour, Y.; Nooshkam, M.; Mahfouzi, M.; Gharagozlou, M.; Aliakbari, F. S.; Aghababaei, F.; McClement, D. J. Green leaf proteins: a sustainable source of edible plant-based proteins. Critical reviews in food science and nutrition. 2023. https://doi.org/10.1080/10408398.2023.2229436."
202,996,2,200,sucess-download,"Calabrese, E. J.; Pressman, P.; Hayes, A. W.; Dhawan, G.; Kapoor, R.; Agathokleous, E.; Calabrese, V. Lithium and hormesis: Enhancement of adaptive responses and biological performance via hormetic mechanisms. Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS). 2023. https://doi.org/10.1016/j.jtemb.2023.127156."
202,559,2,200,sucess-download,"Gupta, A.; Ndugire, W.; Hirschbiegel, C. M.; Grigely, L.; Rotello, V. M. Interfacing Nanomaterials with Biology through Ligand Engineering. Accounts of chemical research. 2023. https://doi.org/10.1021/acs.accounts.3c00255."
202,107,2,200,sucess-download,"Kalelkar, A.; Sipe, G.; Castro E Costa, A. R.; Lorenzo, I. M.; Nguyen, M.; Linares-Garcia, I.; Vazey, E.; Huda, R. A paradigm for ethanol consumption in head-fixed mice during prefrontal cortical two-photon calcium imaging. Neuropharmacology. 2023. https://doi.org/10.1016/j.neuropharm.2023.109800."
202,906,2,200,sucess-download,"Leonard, E. R.; Marques, E. S.; Roy, M. A.; Conlin, S. M.; Ranjan, R.; Timme-Laragy, A. R. Dietary exposure to the food preservative tert-Butylhydroquinone (tBHQ) impairs zebrafish (Danio rerio) survival, growth, organ development, and gene expression in Nrf2a-dependent and independent ways. Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association. 2023. https://doi.org/10.1016/j.fct.2023.113788."
202,1062,2,200,sucess-download,"Luo, X.; Wang, Z.; Wang, C.; Yue, L.; Tao, M.; Elmer, W. H.; White, J. C.; Cao, X.; Xing, B. Nanomaterial Size and Surface Modification Mediate Disease Resistance Activation in Cucumber ( ACS nano. 2023. https://doi.org/10.1021/acsnano.2c11790."
